"t","value"
"0","-10.950859000000015"
"1","-10.674477000000019"
"2","-10.683790999999994"
"3","-10.827487999999978"
"4","-11.160583000000015"
"5","-11.511839999999973"
"6","-10.995276999999993"
"7","-10.366576999999978"
"8","-10.647837000000004"
"9","-10.288126000000029"
"10","-10.227713"
"11","-10.509426999999992"
"12","-10.53926199999998"
"13","-11.013053000000006"
"14","-11.17127799999999"
"15","-10.859100000000028"
"16","-10.37961400000001"
"17","-10.470309000000011"
"18","-10.552197000000005"
"19","-10.540524000000007"
"20","-10.251927999999992"
"21","-10.26765799999999"
"22","-9.687884000000018"
"23","-9.741995000000017"
"24","-10.175842000000003"
"25","-9.79042400000001"
"26","-9.665136000000002"
"27","-10.131120000000006"
"28","-10.013413000000005"
"29","-9.979075000000005"
"30","-9.758043000000008"
"31","-10.269875000000015"
"32","-10.159627999999987"
"33","-9.854057"
"34","-9.939282999999989"
"35","-9.681342000000006"
"36","-10.152975000000005"
"37","-10.155888000000026"
"38","-10.141963999999998"
"39","-10.523914000000016"
"40","-10.977147999999977"
"41","-10.628218000000002"
"42","-10.965564000000029"
"43","-10.791101000000008"
"44","-10.89251"
"45","-10.991673999999994"
"46","-10.627061000000012"
"47","-10.567347000000014"
"48","-10.405853999999989"
"49","-10.395750999999997"
"50","-10.540771999999992"
"51","-10.655547999999996"
"52","-10.872474000000013"
"53","-10.799019000000014"
"54","-10.733683999999998"
"55","-11.038905000000023"
"56","-11.135204000000021"
"57","-10.54152999999999"
"58","-10.57709300000002"
"59","-10.441047999999999"
"60","-10.911949999999969"
"61","-10.542788000000005"
"62","-10.590937999999992"
"63","-10.67057700000004"
"64","-10.610257000000004"
"65","-10.289260999999989"
"66","-10.419960999999992"
"67","-10.251106000000014"
"68","-10.364887999999992"
"69","-10.760979000000006"
"70","-10.442350999999993"
"71","-10.735210000000032"
"72","-10.270452999999982"
"73","-10.193741999999999"
"74","-9.93919299999999"
"75","-10.309778000000001"
"76","-10.590988000000008"
"77","-10.070842000000015"
"78","-9.733911000000015"
"79","-10.064758000000008"
"80","-10.332798000000013"
"81","-10.453210000000029"
"82","-10.183918000000025"
"83","-10.249532999999998"
"84","-10.328764000000024"
"85","-10.079434000000008"
"86","-10.489057000000026"
"87","-10.408617000000019"
"88","-10.323146000000001"
"89","-9.880844"
"90","-10.111041000000013"
"91","-10.586282000000013"
"92","-10.788328000000002"
"93","-10.112400000000006"
"94","-10.599411999999981"
"95","-10.208682999999983"
"96","-9.997363000000009"
"97","-10.13850500000002"
"98","-10.059437999999998"
"99","-10.131258000000011"
"100","-10.220791999999983"
"101","-10.140614000000019"
"102","-9.772663000000001"
"103","-10.405753999999996"
"104","-10.074578000000004"
"105","-9.375504999999999"
"106","-9.39127799999998"
"107","-9.488334999999998"
"108","-9.127100000000018"
"109","-8.802079999999988"
"110","-8.785054000000008"
"111","-9.136151999999978"
"112","-9.204056000000007"
"113","-9.522133999999998"
"114","-9.77089"
"115","-9.686252000000001"
"116","-9.349051000000022"
"117","-9.747486000000016"
"118","-10.135645000000018"
"119","-10.006339000000018"
"120","-10.087627000000012"
"121","-9.658892000000003"
"122","-10.102497000000016"
"123","-10.239880999999997"
"124","-9.967868000000006"
"125","-10.135015000000001"
"126","-10.072295999999996"
"127","-9.515165000000007"
"128","-9.807810000000003"
"129","-10.183220999999985"
"130","-9.960559999999994"
"131","-9.934203999999998"
"132","-10.009015000000003"
"133","-9.597544000000013"
"134","-9.430898000000015"
"135","-9.618865000000003"
"136","-9.452411000000001"
"137","-9.367368000000013"
"138","-9.671247000000017"
"139","-9.305961999999997"
"140","-9.463726000000003"
"141","-9.700632999999973"
"142","-9.429131999999987"
"143","-9.60716499999997"
"144","-9.908090999999999"
"145","-9.828661999999998"
"146","-9.589272999999988"
"147","-9.725067999999975"
"148","-9.17278900000001"
"149","-8.870683000000021"
"150","-9.373471000000022"
"151","-9.78767100000001"
"152","-9.589663000000018"
"153","-9.24650400000001"
"154","-8.932101000000017"
"155","-9.025723000000006"
"156","-8.83721900000002"
"157","-8.665988000000024"
"158","-8.688395000000005"
"159","-8.485870000000007"
"160","-8.383813999999985"
"161","-8.026311999999992"
"162","-8.137405000000003"
"163","-8.01848000000002"
"164","-8.00768999999999"
"165","-8.280889000000021"
"166","-7.78787000000001"
"167","-8.017379000000018"
"168","-8.466246000000016"
"169","-7.885850999999988"
"170","-7.241744999999994"
"171","-7.401550000000015"
"172","-7.887806000000004"
"173","-7.7982569999999845"
"174","-7.7111210000000066"
"175","-7.269186000000004"
"176","-7.105232000000005"
"177","-6.9439409999999855"
"178","-6.772835999999994"
"179","-6.6888909999999955"
"180","-6.627739999999996"
"181","-6.677874999999999"
"182","-6.405908999999988"
"183","-6.0931679999999995"
"184","-6.244779000000016"
"185","-6.178361000000008"
"186","-6.185350000000003"
"187","-6.203338999999997"
"188","-6.031025"
"189","-6.000777999999989"
"190","-5.8765489999999945"
"191","-5.622436000000015"
"192","-5.626498000000009"
"193","-5.651026000000003"
"194","-5.830032000000013"
"195","-5.914252000000017"
"196","-5.739854999999993"
"197","-5.695984000000001"
"198","-5.751017000000003"
"199","-5.750315999999991"
"200","-5.776980999999988"
"201","-5.84085799999999"
"202","-5.761141999999999"
"203","-5.416398999999997"
"204","-5.639403999999995"
"205","-5.922835000000004"
"206","-5.958066999999997"
"207","-5.803716999999988"
"208","-6.008783999999991"
"209","-5.929730000000004"
"210","-5.638948"
"211","-5.447220999999997"
"212","-5.295001000000007"
"213","-5.500761000000001"
"214","-5.486304000000001"
"215","-5.491536000000004"
"216","-5.499741000000015"
"217","-5.325225000000009"
"218","-5.236751000000011"
"219","-5.462094000000007"
"220","-5.595702000000013"
"221","-5.633565999999997"
"222","-5.452355000000002"
"223","-5.313614999999993"
"224","-5.338831000000003"
"225","-5.189480999999995"
"226","-5.053727999999989"
"227","-5.411906999999998"
"228","-5.274732999999998"
"229","-5.163598000000012"
