url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
http://www.billboard.com/charts/hot-100/1963-06-01,6/1/1963,11,Still,Bill Anderson,StillBill Anderson,1,17,11,8
http://www.billboard.com/charts/hot-100/1967-01-07,1/7/1967,11,Coming Home Soldier,Bobby Vinton,Coming Home SoldierBobby Vinton,1,17,11,8
http://www.billboard.com/charts/hot-100/1971-07-03,7/3/1971,11,She's Not Just Another Woman,The 8th Day,She's Not Just Another WomanThe 8th Day,1,17,11,8
http://www.billboard.com/charts/hot-100/1975-11-29,11/29/1975,11,Saturday Night,Bay City Rollers,Saturday NightBay City Rollers,1,17,11,8
http://www.billboard.com/charts/hot-100/1979-09-29,9/29/1979,11,Pop Muzik,M,Pop MuzikM,1,17,11,8
http://www.billboard.com/charts/hot-100/1987-09-19,9/19/1987,11,Carrie,Europe,CarrieEurope,1,17,11,8
http://www.billboard.com/charts/hot-100/1987-10-03,10/3/1987,11,Casanova,Levert,CasanovaLevert,1,17,11,8
http://www.billboard.com/charts/hot-100/1996-03-30,3/30/1996,11,"All The Things (Your Man Won't Do) (From ""Don't Be A Menace..."")",Joe,"All The Things (Your Man Won't Do) (From ""Don't Be A Menace..."")Joe",1,17,11,8
http://www.billboard.com/charts/hot-100/1962-08-18,8/18/1962,11,Party Lights,Claudine Clark,Party LightsClaudine Clark,1,18,11,8
http://www.billboard.com/charts/hot-100/1970-09-12,9/12/1970,11,Candida,Dawn,CandidaDawn,1,18,11,8
http://www.billboard.com/charts/hot-100/1985-03-16,3/16/1985,11,Only The Young,Journey,Only The YoungJourney,1,18,11,8
http://www.billboard.com/charts/hot-100/1985-08-10,8/10/1985,11,St. Elmo's Fire (Man In Motion),John Parr,St. Elmo's Fire (Man In Motion)John Parr,1,18,11,8
http://www.billboard.com/charts/hot-100/1986-05-31,5/31/1986,11,Crush On You,The Jets,Crush On YouThe Jets,1,18,11,8
http://www.billboard.com/charts/hot-100/1980-07-19,7/19/1980,11,Take Your Time (Do It Right) Part 1,The S.O.S. Band,Take Your Time (Do It Right) Part 1The S.O.S. Band,1,19,11,8
http://www.billboard.com/charts/hot-100/1984-06-02,6/2/1984,11,Self Control,Laura Branigan,Self ControlLaura Branigan,1,19,11,8
http://www.billboard.com/charts/hot-100/1988-07-23,7/23/1988,11,1-2-3,Gloria Estefan & Miami Sound Machine,1-2-3Gloria Estefan & Miami Sound Machine,1,19,11,8
http://www.billboard.com/charts/hot-100/1999-03-27,3/27/1999,11,All Night Long,Faith Evans Featuring Puff Daddy,All Night LongFaith Evans Featuring Puff Daddy,1,19,11,8
https://www.billboard.com/charts/hot-100/2019-12-07,12/7/2019,11,Dance Monkey,Tones And I,Dance MonkeyTones And I,1,19,11,8
http://www.billboard.com/charts/hot-100/1985-11-09,11/9/1985,11,Broken Wings,Mr. Mister,Broken WingsMr. Mister,1,20,11,8
http://www.billboard.com/charts/hot-100/1978-10-28,10/28/1978,11,Beast Of Burden,The Rolling Stones,Beast Of BurdenThe Rolling Stones,1,22,11,8
http://www.billboard.com/charts/hot-100/1981-12-26,12/26/1981,11,Centerfold,The J. Geils Band,CenterfoldThe J. Geils Band,1,23,11,8
http://www.billboard.com/charts/hot-100/1976-11-06,11/6/1976,11,Do You Feel Like We Do,Peter Frampton,Do You Feel Like We DoPeter Frampton,1,24,11,8
http://www.billboard.com/charts/hot-100/2005-10-15,10/15/2005,11,Run It!,Chris Brown,Run It!Chris Brown,1,24,11,8
http://www.billboard.com/charts/hot-100/1966-07-30,7/30/1966,12,Paperback Writer,The Beatles,Paperback WriterThe Beatles,1,6,1,8
http://www.billboard.com/charts/hot-100/1967-04-15,4/15/1967,12,Penny Lane,The Beatles,Penny LaneThe Beatles,1,6,1,8
http://www.billboard.com/charts/hot-100/1974-02-23,2/23/1974,12,Americans,Byron MacGregor,AmericansByron MacGregor,1,6,4,8
http://www.billboard.com/charts/hot-100/1963-07-20,7/20/1963,12,One Fine Day,The Chiffons,One Fine DayThe Chiffons,1,5,5,8
http://www.billboard.com/charts/hot-100/2010-03-27,3/27/2010,12,Baby,Justin Bieber Featuring Ludacris,BabyJustin Bieber Featuring Ludacris,1,14,5,8
https://www.billboard.com/charts/hot-100/2018-04-07,4/7/2018,12,Pray For Me,The Weeknd & Kendrick Lamar,Pray For MeThe Weeknd & Kendrick Lamar,1,10,7,8
http://www.billboard.com/charts/hot-100/1959-07-11,7/11/1959,12,Bobby Sox To Stockings,Frankie Avalon,Bobby Sox To StockingsFrankie Avalon,1,8,8,8
http://www.billboard.com/charts/hot-100/1959-12-12,12/12/1959,12,Be My Guest,Fats Domino,Be My GuestFats Domino,1,8,8,8
http://www.billboard.com/charts/hot-100/1998-01-31,1/31/1998,12,A Song For Mama,Boyz II Men,A Song For MamaBoyz II Men,1,12,8,8
http://www.billboard.com/charts/hot-100/1962-06-30,6/30/1962,12,That's Old Fashioned (That's The Way Love Should Be),The Everly Brothers,That's Old Fashioned (That's The Way Love Should Be)The Everly Brothers,1,9,9,8
http://www.billboard.com/charts/hot-100/1996-04-27,4/27/1996,12,Doin It,LL Cool J,Doin ItLL Cool J,1,12,9,8
http://www.billboard.com/charts/hot-100/2012-09-08,9/8/2012,12,Blow Me (One Last Kiss),P!nk,Blow Me (One Last Kiss)P!nk,1,12,9,8
http://www.billboard.com/charts/hot-100/1958-09-27,9/27/1958,12,Devoted To You,The Everly Brothers,Devoted To YouThe Everly Brothers,1,10,10,8
http://www.billboard.com/charts/hot-100/2006-10-21,10/21/2006,12,Call Me When You're Sober,Evanescence,Call Me When You're SoberEvanescence,1,12,10,8
http://www.billboard.com/charts/hot-100/2005-12-10,12/10/2005,12,Don't Forget About Us,Mariah Carey,Don't Forget About UsMariah Carey,1,11,11,8
http://www.billboard.com/charts/hot-100/1961-02-25,2/25/1961,12,Baby Sittin' Boogie,Buzz Clifford,Baby Sittin' BoogieBuzz Clifford,1,12,12,8
http://www.billboard.com/charts/hot-100/1964-09-12,9/12/1964,12,And I Love Her,The Beatles,And I Love HerThe Beatles,1,12,12,8
http://www.billboard.com/charts/hot-100/1967-01-07,1/7/1967,12,Single Girl,Sandy Posey,Single GirlSandy Posey,1,12,12,8
http://www.billboard.com/charts/hot-100/1968-10-26,10/26/1968,12,Suzie Q. (Part One),Creedence Clearwater Revival,Suzie Q. (Part One)Creedence Clearwater Revival,1,12,12,8
http://www.billboard.com/charts/hot-100/1972-09-30,9/30/1972,12,Play Me,Neil Diamond,Play MeNeil Diamond,1,12,12,8
http://www.billboard.com/charts/hot-100/1973-09-22,9/22/1973,12,Saturday Night's Alright For Fighting,Elton John,Saturday Night's Alright For FightingElton John,1,12,12,8
http://www.billboard.com/charts/hot-100/1982-05-15,5/15/1982,12,The Beatles' Movie Medley,The Beatles,The Beatles' Movie MedleyThe Beatles,1,12,12,8
http://www.billboard.com/charts/hot-100/1983-03-12,3/12/1983,12,All Right,Christopher Cross,All RightChristopher Cross,1,12,12,8
http://www.billboard.com/charts/hot-100/1997-08-23,8/23/1997,12,"C U When U Get There (From ""Nothing To Lose"")",Coolio Featuring 40 Thevz,"C U When U Get There (From ""Nothing To Lose"")Coolio Featuring 40 Thevz",1,12,12,8
http://www.billboard.com/charts/hot-100/2003-08-16,8/16/2003,12,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee","Shake Ya TailfeatherNelly, P. Diddy & Murphy Lee",1,12,12,8
http://www.billboard.com/charts/hot-100/2003-09-20,9/20/2003,12,Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,Can't Hold Us DownChristina Aguilera Featuring Lil' Kim,1,12,12,8
http://www.billboard.com/charts/hot-100/2007-08-18,8/18/2007,12,Shawty,Plies Featuring T-Pain,ShawtyPlies Featuring T-Pain,1,12,12,8
http://www.billboard.com/charts/hot-100/2009-09-19,9/19/2009,12,She Wolf,Shakira,She WolfShakira,1,12,12,8
http://www.billboard.com/charts/hot-100/2017-09-16,9/16/2017,12,Bank Account,21 Savage,Bank Account21 Savage,1,12,12,8
http://www.billboard.com/charts/hot-100/1961-04-08,4/8/1961,12,Asia Minor,Kokomo,Asia MinorKokomo,1,13,12,8
http://www.billboard.com/charts/hot-100/1968-02-10,2/10/1968,12,"Baby, Now That I've Found You",The Foundations,"Baby, Now That I've Found YouThe Foundations",1,13,12,8
http://www.billboard.com/charts/hot-100/1982-03-06,3/6/1982,12,Spirits In The Material World,The Police,Spirits In The Material WorldThe Police,1,13,12,8
http://www.billboard.com/charts/hot-100/1984-01-28,1/28/1984,12,Pink Houses,John Mellencamp,Pink HousesJohn Mellencamp,1,13,12,8
http://www.billboard.com/charts/hot-100/1996-03-30,3/30/1996,12,1979,The Smashing Pumpkins,1979The Smashing Pumpkins,1,13,12,8
http://www.billboard.com/charts/hot-100/1962-02-03,2/3/1962,12,A Little Bitty Tear,Burl Ives,A Little Bitty TearBurl Ives,1,14,12,8
http://www.billboard.com/charts/hot-100/1962-11-03,11/3/1962,12,Close To Cathy,Mike Clifford,Close To CathyMike Clifford,1,14,12,8
http://www.billboard.com/charts/hot-100/1964-10-24,10/24/1964,12,Chug-A-Lug,Roger Miller,Chug-A-LugRoger Miller,1,14,12,8
http://www.billboard.com/charts/hot-100/1964-11-28,11/28/1964,12,Ask Me,Elvis Presley With The Jordanaires,Ask MeElvis Presley With The Jordanaires,1,14,12,8
http://www.billboard.com/charts/hot-100/1972-07-22,7/22/1972,12,Take It Easy,Eagles,Take It EasyEagles,1,14,12,8
http://www.billboard.com/charts/hot-100/1975-07-05,7/5/1975,12,Swearin' To God,Frankie Valli,Swearin' To GodFrankie Valli,1,14,12,8
http://www.billboard.com/charts/hot-100/1978-04-29,4/29/1978,12,Count On Me,Jefferson Starship,Count On MeJefferson Starship,1,14,12,8
http://www.billboard.com/charts/hot-100/1979-10-27,10/27/1979,12,Dirty White Boy,Foreigner,Dirty White BoyForeigner,1,14,12,8
http://www.billboard.com/charts/hot-100/1983-11-05,11/5/1983,12,Cum On Feel The Noize,Quiet Riot,Cum On Feel The NoizeQuiet Riot,1,14,12,8
http://www.billboard.com/charts/hot-100/1988-08-20,8/20/1988,12,Simply Irresistible,Robert Palmer,Simply IrresistibleRobert Palmer,1,14,12,8
http://www.billboard.com/charts/hot-100/1999-08-21,8/21/1999,12,Someday,Sugar Ray,SomedaySugar Ray,1,14,12,8
http://www.billboard.com/charts/hot-100/2005-04-23,4/23/2005,12,Switch,Will Smith,SwitchWill Smith,1,14,12,8
http://www.billboard.com/charts/hot-100/1960-10-29,10/29/1960,12,Don't Be Cruel,Bill Black's Combo,Don't Be CruelBill Black's Combo,1,15,12,8
http://www.billboard.com/charts/hot-100/1969-10-11,10/11/1969,12,That's The Way Love Is,Marvin Gaye,That's The Way Love IsMarvin Gaye,1,15,12,8
http://www.billboard.com/charts/hot-100/1981-04-11,4/11/1981,12,Angel Of The Morning,Juice Newton,Angel Of The MorningJuice Newton,1,15,12,8
http://www.billboard.com/charts/hot-100/1984-03-17,3/17/1984,12,Automatic,The Pointer Sisters,AutomaticThe Pointer Sisters,1,15,12,8
http://www.billboard.com/charts/hot-100/1985-05-04,5/4/1985,12,That Was Yesterday,Foreigner,That Was YesterdayForeigner,1,15,12,8
http://www.billboard.com/charts/hot-100/1985-08-24,8/24/1985,12,Cherish,Kool & The Gang,CherishKool & The Gang,1,15,12,8
http://www.billboard.com/charts/hot-100/1993-07-17,7/17/1993,12,Slam,Onyx,SlamOnyx,1,15,12,8
http://www.billboard.com/charts/hot-100/2005-07-30,7/30/2005,12,Pimpin' All Over The World,Ludacris Featuring Bobby Valentino,Pimpin' All Over The WorldLudacris Featuring Bobby Valentino,1,15,12,8
http://www.billboard.com/charts/hot-100/1974-05-04,5/4/1974,12,(i've Been) Searchin' So Long,Chicago,(i've Been) Searchin' So LongChicago,1,16,12,8
http://www.billboard.com/charts/hot-100/1974-10-12,10/12/1974,12,Stop And Smell The Roses,Mac Davis,Stop And Smell The RosesMac Davis,1,16,12,8
http://www.billboard.com/charts/hot-100/1979-06-02,6/2/1979,12,Deeper Than The Night,Olivia Newton-John,Deeper Than The NightOlivia Newton-John,1,16,12,8
http://www.billboard.com/charts/hot-100/1979-09-15,9/15/1979,12,Rise,Herb Alpert,RiseHerb Alpert,1,16,12,8
http://www.billboard.com/charts/hot-100/1984-12-22,12/22/1984,12,Run To You,Bryan Adams,Run To YouBryan Adams,1,16,12,8
http://www.billboard.com/charts/hot-100/1997-04-19,4/19/1997,12,Return Of The Mack,Mark Morrison,Return Of The MackMark Morrison,1,16,12,8
http://www.billboard.com/charts/hot-100/1964-02-29,2/29/1964,12,See The Funny Little Clown,Bobby Goldsboro,See The Funny Little ClownBobby Goldsboro,1,17,12,8
http://www.billboard.com/charts/hot-100/1980-06-07,6/7/1980,12,She's Out Of My Life,Michael Jackson,She's Out Of My LifeMichael Jackson,1,17,12,8
http://www.billboard.com/charts/hot-100/1983-10-22,10/22/1983,12,Suddenly Last Summer,The Motels,Suddenly Last SummerThe Motels,1,17,12,8
http://www.billboard.com/charts/hot-100/1989-02-25,2/25/1989,12,Roni,Bobby Brown,RoniBobby Brown,1,17,12,8
http://www.billboard.com/charts/hot-100/1990-08-18,8/18/1990,12,Release Me,Wilson Phillips,Release MeWilson Phillips,1,17,12,8
http://www.billboard.com/charts/hot-100/1991-06-15,6/15/1991,12,Playground,Another Bad Creation,PlaygroundAnother Bad Creation,1,17,12,8
http://www.billboard.com/charts/hot-100/2001-04-14,4/14/2001,12,Ride Wit Me,Nelly Featuring City Spud,Ride Wit MeNelly Featuring City Spud,1,17,12,8
http://www.billboard.com/charts/hot-100/2013-09-07,9/7/2013,12,Royals,Lorde,RoyalsLorde,1,17,12,8
http://www.billboard.com/charts/hot-100/1959-01-10,1/10/1959,12,16 Candles,The Crests,16 CandlesThe Crests,1,18,12,8
http://www.billboard.com/charts/hot-100/1962-06-09,6/9/1962,12,Don't Play That Song (You Lied),Ben E. King,Don't Play That Song (You Lied)Ben E. King,1,18,12,8
http://www.billboard.com/charts/hot-100/1964-10-03,10/3/1964,12,A Summer Song,Chad & Jeremy,A Summer SongChad & Jeremy,1,18,12,8
http://www.billboard.com/charts/hot-100/1967-11-25,11/25/1967,12,Pata Pata,Miriam Makeba,Pata PataMiriam Makeba,1,18,12,8
http://www.billboard.com/charts/hot-100/1989-11-18,11/18/1989,12,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),Don't Know MuchLinda Ronstadt (Featuring Aaron Neville),1,18,12,8
http://www.billboard.com/charts/hot-100/2004-03-13,3/13/2004,12,Dirt Off Your Shoulder,JAY-Z,Dirt Off Your ShoulderJAY-Z,1,18,12,8
http://www.billboard.com/charts/hot-100/1985-04-13,4/13/1985,12,One Night In Bangkok,Murray Head,One Night In BangkokMurray Head,1,19,12,8
http://www.billboard.com/charts/hot-100/2012-02-18,2/18/2012,12,Ass Back Home,Gym Class Heroes Featuring Neon Hitch,Ass Back HomeGym Class Heroes Featuring Neon Hitch,1,19,12,8
http://www.billboard.com/charts/hot-100/1990-02-24,2/24/1990,12,Black Velvet,Alannah Myles,Black VelvetAlannah Myles,1,20,12,8
http://www.billboard.com/charts/hot-100/1995-10-14,10/14/1995,12,Tell Me,Groove Theory,Tell MeGroove Theory,1,20,12,8
http://www.billboard.com/charts/hot-100/2001-02-24,2/24/2001,12,Butterfly,Crazy Town,ButterflyCrazy Town,1,20,12,8
http://www.billboard.com/charts/hot-100/1983-08-13,8/13/1983,12,Puttin' On The Ritz,Taco,Puttin' On The RitzTaco,1,22,12,8
http://www.billboard.com/charts/hot-100/2009-02-21,2/21/2009,12,Poker Face,Lady Gaga,Poker FaceLady Gaga,1,23,12,8
http://www.billboard.com/charts/hot-100/1967-09-09,9/9/1967,13,Pleasant Valley Sunday,The Monkees,Pleasant Valley SundayThe Monkees,1,8,3,8
http://www.billboard.com/charts/hot-100/1964-08-01,8/1/1964,13,Can't You See That She's Mine,The Dave Clark Five,Can't You See That She's MineThe Dave Clark Five,1,7,4,8
http://www.billboard.com/charts/hot-100/1967-07-22,7/22/1967,13,Don't Sleep In The Subway,Petula Clark,Don't Sleep In The SubwayPetula Clark,1,5,5,8
http://www.billboard.com/charts/hot-100/2007-10-13,10/13/2007,13,Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,Ayo Technology50 Cent Featuring Justin Timberlake & Timbaland,1,6,5,8
http://www.billboard.com/charts/hot-100/1964-05-30,5/30/1964,13,Ronnie,"The 4 Seasons Featuring the ""Sound of Frankie Valli""","RonnieThe 4 Seasons Featuring the ""Sound of Frankie Valli""",1,8,6,8
http://www.billboard.com/charts/hot-100/1963-06-01,6/1/1963,13,Take These Chains From My Heart,Ray Charles,Take These Chains From My HeartRay Charles,1,8,8,8
http://www.billboard.com/charts/hot-100/1967-01-07,1/7/1967,13,(I Know) I'm Losing You,The Temptations,(I Know) I'm Losing YouThe Temptations,1,8,8,8
http://www.billboard.com/charts/hot-100/2006-12-09,12/9/2006,13,Show Me What You Got,JAY-Z,Show Me What You GotJAY-Z,1,13,8,8
http://www.billboard.com/charts/hot-100/1960-05-14,5/14/1960,13,Stairway To Heaven,Neil Sedaka,Stairway To HeavenNeil Sedaka,1,9,9,8
http://www.billboard.com/charts/hot-100/1967-01-28,1/28/1967,13,Tell It To The Rain,"The 4 Seasons Featuring the ""Sound of Frankie Valli""","Tell It To The RainThe 4 Seasons Featuring the ""Sound of Frankie Valli""",1,10,10,8
http://www.billboard.com/charts/hot-100/1999-05-22,5/22/1999,13,Please Remember Me,Tim McGraw,Please Remember MeTim McGraw,1,11,10,8
http://www.billboard.com/charts/hot-100/1960-10-01,10/1/1960,13,Pineapple Princess,Annette With The Afterbeats,Pineapple PrincessAnnette With The Afterbeats,1,11,11,8
http://www.billboard.com/charts/hot-100/1970-11-28,11/28/1970,13,Cry Me A River,Joe Cocker,Cry Me A RiverJoe Cocker,1,11,11,8
http://www.billboard.com/charts/hot-100/1966-07-09,7/9/1966,13,Don't Bring Me Down,The Animals,Don't Bring Me DownThe Animals,1,12,12,8
http://www.billboard.com/charts/hot-100/1963-10-19,10/19/1963,13,"That Sunday, That Summer",Nat King Cole,"That Sunday, That SummerNat King Cole",1,13,13,8
http://www.billboard.com/charts/hot-100/1965-01-02,1/2/1965,13,Sha La La,Manfred Mann,Sha La LaManfred Mann,1,13,13,8
http://www.billboard.com/charts/hot-100/1966-04-02,4/2/1966,13,"634-5789 (Soulsville, U.S.A.)",Wilson Pickett,"634-5789 (Soulsville, U.S.A.)Wilson Pickett",1,13,13,8
http://www.billboard.com/charts/hot-100/1967-04-08,4/8/1967,13,The 59th Street Bridge Song (Feelin' Groovy),Harpers Bizarre,The 59th Street Bridge Song (Feelin' Groovy)Harpers Bizarre,1,13,13,8
http://www.billboard.com/charts/hot-100/1967-09-02,9/2/1967,13,Thank The Lord For The Night Time,Neil Diamond,Thank The Lord For The Night TimeNeil Diamond,1,13,13,8
http://www.billboard.com/charts/hot-100/1968-08-17,8/17/1968,13,Stay In My Corner,The Dells,Stay In My CornerThe Dells,1,13,13,8
http://www.billboard.com/charts/hot-100/1968-11-16,11/16/1968,13,Sweet Blindness,The 5th Dimension,Sweet BlindnessThe 5th Dimension,1,13,13,8
http://www.billboard.com/charts/hot-100/1969-09-20,9/20/1969,13,Share Your Love With Me,Aretha Franklin,Share Your Love With MeAretha Franklin,1,13,13,8
http://www.billboard.com/charts/hot-100/1975-11-08,11/8/1975,13,Something Better To Do,Olivia Newton-John,Something Better To DoOlivia Newton-John,1,13,13,8
http://www.billboard.com/charts/hot-100/1982-01-02,1/2/1982,13,Comin' In And Out Of Your Life,Barbra Streisand,Comin' In And Out Of Your LifeBarbra Streisand,1,13,13,8
http://www.billboard.com/charts/hot-100/1982-07-17,7/17/1982,13,Do I Do,Stevie Wonder,Do I DoStevie Wonder,1,13,13,8
http://www.billboard.com/charts/hot-100/1984-07-14,7/14/1984,13,Doctor! Doctor!,Thompson Twins,Doctor! Doctor!Thompson Twins,1,13,13,8
http://www.billboard.com/charts/hot-100/1988-12-31,12/31/1988,13,Smooth Criminal,Michael Jackson,Smooth CriminalMichael Jackson,1,13,13,8
http://www.billboard.com/charts/hot-100/1992-05-02,5/2/1992,13,One,U2,OneU2,1,13,13,8
http://www.billboard.com/charts/hot-100/1994-03-19,3/19/1994,13,Rock And Roll Dreams Come Through,Meat Loaf,Rock And Roll Dreams Come ThroughMeat Loaf,1,13,13,8
http://www.billboard.com/charts/hot-100/1995-03-04,3/4/1995,13,Big Poppa/Warning,The Notorious B.I.G.,Big Poppa/WarningThe Notorious B.I.G.,1,13,13,8
http://www.billboard.com/charts/hot-100/2000-11-25,11/25/2000,13,She Bangs,Ricky Martin,She BangsRicky Martin,1,13,13,8
http://www.billboard.com/charts/hot-100/1961-04-15,4/15/1961,13,Please Love Me Forever,Cathy Jean and The Roommates,Please Love Me ForeverCathy Jean and The Roommates,1,14,13,8
http://www.billboard.com/charts/hot-100/1962-05-05,5/5/1962,13,She Cried,Jay & The Americans,She CriedJay & The Americans,1,14,13,8
http://www.billboard.com/charts/hot-100/1966-07-16,7/16/1966,13,Ain't Too Proud To Beg,The Temptations,Ain't Too Proud To BegThe Temptations,1,14,13,8
http://www.billboard.com/charts/hot-100/1966-08-13,8/13/1966,13,Over Under Sideways Down,The Yardbirds,Over Under Sideways DownThe Yardbirds,1,14,13,8
http://www.billboard.com/charts/hot-100/1970-05-02,5/2/1970,13,Reflections Of My Life,The Marmalade,Reflections Of My LifeThe Marmalade,1,14,13,8
http://www.billboard.com/charts/hot-100/1971-03-06,3/6/1971,13,(Theme From) Love Story,Henry Mancini And His Orchestra,(Theme From) Love StoryHenry Mancini And His Orchestra,1,14,13,8
http://www.billboard.com/charts/hot-100/1977-05-07,5/7/1977,13,Can't Stop Dancin',Captain & Tennille,Can't Stop Dancin'Captain & Tennille,1,14,13,8
http://www.billboard.com/charts/hot-100/1986-05-03,5/3/1986,13,American Storm,Bob Seger,American StormBob Seger,1,14,13,8
http://www.billboard.com/charts/hot-100/1989-11-04,11/4/1989,13,Didn't I (Blow Your Mind),New Kids On The Block,Didn't I (Blow Your Mind)New Kids On The Block,1,14,13,8
http://www.billboard.com/charts/hot-100/1991-11-09,11/9/1991,13,Don't Cry,Guns N' Roses,Don't CryGuns N' Roses,1,14,13,8
http://www.billboard.com/charts/hot-100/1992-10-03,10/3/1992,13,People Everyday,Arrested Development,People EverydayArrested Development,1,14,13,8
http://www.billboard.com/charts/hot-100/1994-04-16,4/16/1994,13,"Baby I Love Your Way (From ""Reality Bites"")",Big Mountain,"Baby I Love Your Way (From ""Reality Bites"")Big Mountain",1,14,13,8
http://www.billboard.com/charts/hot-100/2014-08-09,8/9/2014,13,Boom Clap,Charli XCX,Boom ClapCharli XCX,1,14,13,8
http://www.billboard.com/charts/hot-100/1960-05-21,5/21/1960,13,Cherry Pie,Skip And Flip,Cherry PieSkip And Flip,1,15,13,8
http://www.billboard.com/charts/hot-100/1962-09-08,9/8/1962,13,A Swingin' Safari,Billy Vaughn And His Orchestra,A Swingin' SafariBilly Vaughn And His Orchestra,1,15,13,8
http://www.billboard.com/charts/hot-100/1962-12-29,12/29/1962,13,Dear Lonely Hearts,Nat King Cole,Dear Lonely HeartsNat King Cole,1,15,13,8
http://www.billboard.com/charts/hot-100/1963-03-23,3/23/1963,13,Our Winter Love,Bill Pursell,Our Winter LoveBill Pursell,1,15,13,8
http://www.billboard.com/charts/hot-100/1965-03-13,3/13/1965,13,Red Roses For A Blue Lady,Bert Kaempfert And His Orchestra,Red Roses For A Blue LadyBert Kaempfert And His Orchestra,1,15,13,8
http://www.billboard.com/charts/hot-100/1970-11-21,11/21/1970,13,Super Bad (Part 1 & Part 2),James Brown,Super Bad (Part 1 & Part 2)James Brown,1,15,13,8
http://www.billboard.com/charts/hot-100/1973-06-16,6/16/1973,13,One Of A Kind (Love Affair),The Spinners,One Of A Kind (Love Affair)The Spinners,1,15,13,8
http://www.billboard.com/charts/hot-100/1976-01-10,1/10/1976,13,Sing A Song,"Earth, Wind & Fire","Sing A SongEarth, Wind & Fire",1,15,13,8
http://www.billboard.com/charts/hot-100/1978-07-29,7/29/1978,13,Copacabana (at The Copa),Barry Manilow,Copacabana (at The Copa)Barry Manilow,1,15,13,8
http://www.billboard.com/charts/hot-100/1978-11-04,11/4/1978,13,Ready To Take A Chance Again,Barry Manilow,Ready To Take A Chance AgainBarry Manilow,1,15,13,8
http://www.billboard.com/charts/hot-100/1979-07-07,7/7/1979,13,Shine A Little Love,Electric Light Orchestra,Shine A Little LoveElectric Light Orchestra,1,15,13,8
http://www.billboard.com/charts/hot-100/1975-03-01,3/1/1975,43,Don't Take Your Love,The Manhattans,Don't Take Your LoveThe Manhattans,1,37,37,9
http://www.billboard.com/charts/hot-100/1975-03-08,3/8/1975,61,Don't Take Your Love,The Manhattans,Don't Take Your LoveThe Manhattans,1,43,37,10
